Game ID, Rental Date, Return Date, Customer ID
35,15/09/2021,05/10/2021,1005
46,20/09/2021,10/10/2021,1001
50,01/10/2021,20/10/2021,1002
7,10/10/2021,30/10/2021,1003
17,15/10/2021,05/11/2021,1004
27,20/10/2021,10/11/2021,1005
35,01/11/2021,20/11/2021,1001
43,10/11/2021,30/11/2021,1002
2,15/11/2021,05/12/2021,1003
11,20/11/2021,10/12/2021,1004
22,01/12/2021,20/12/2021,1005
31,10/12/2021,30/12/2021,1001
39,15/12/2021,05/01/2022,1002
48,20/12/2021,10/01/2022,1003
50,01/01/2022,20/01/2022,1004
5,10/01/2022,30/01/2022,1005
14,15/01/2022,05/02/2022,1001
24,20/01/2022,10/02/2022,1002
34,01/02/2022,20/02/2022,1003
44,10/02/2022,05/03/2022,1004
7,15/02/2022,05/03/2022,1005
16,20/02/2022,10/03/2022,1001
25,01/03/2022,20/03/2022,1002
36,10/03/2022,30/03/2022,1003
46,15/03/2022,05/04/2022,1004
2,01/04/2022,20/04/2022,1005
9,10/04/2022,30/04/2022,1001
17,15/04/2022,05/05/2022,1002
26,20/04/2022,10/05/2022,1003
35,01/05/2022,20/05/2022,1004
44,10/05/2022,30/05/2022,1005
4,01/06/2022,20/06/2022,1001
12,10/06/2022,30/06/2022,1002
22,15/06/2022,05/07/2022,1003
30,20/06/2022,10/07/2022,1004
42,01/07/2022,20/07/2022,1005
6,10/07/2022,30/07/2022,1001
14,15/07/2022,05/08/2022,1002
23,20/07/2022,10/08/2022,1003
32,01/08/2022,20/08/2022,1004
40,10/08/2022,30/08/2022,1005
7,15/08/2022,05/09/2022,1001
15,20/08/2022,10/09/2022,1002
26,01/09/2022,20/09/2022,1003
34,10/09/2022,30/09/2022,1004
42,15/09/2022,05/10/2022,1005
1,01/10/2022,20/10/2022,1001
9,10/10/2022,30/10/2022,1002
19,15/10/2022,05/11/2022,1003
27,20/10/2022,10/11/2022,1004
35,01/11/2022,20/11/2022,1005
43,10/11/2022,30/11/2022,1001
2,15/11/2022,05/12/2022,1002
12,20/11/2022,10/12/2022,1003
23,01/12/2022,20/12/2022,1004
31,10/12/2022,30/12/2022,1005
5,15/01/2023,05/02/2023,1001
15,20/01/2023,10/02/2023,1002
25,01/02/2023,20/02/2023,1003
35,10/02/2023,01/03/2023,1004
45,15/02/2023,10/03/2023,1005
50,20/02/2023,10/03/2023,1001
3,01/03/2023,20/03/2023,1002
12,10/03/2023,30/03/2023,1003
21,15/03/2023,05/04/2023,1004
30,20/03/2023,10/04/2023,1005
41,01/04/2023,20/04/2023,1001
8,10/04/2023,30/04/2023,1002
19,15/04/2023,05/05/2023,1003
26,20/04/2023,10/05/2023,1004
33,01/05/2023,20/05/2023,1005
39,10/05/2023,30/05/2023,1001
44,15/05/2023,05/06/2023,1002
48,20/05/2023,10/06/2023,1003
7,01/06/2023,20/06/2023,1004
14,10/06/2023,30/06/2023,1005
22,15/06/2023,05/07/2023,1001
32,20/06/2023,10/07/2023,1002
40,01/07/2023,20/07/2023,1003
2,10/07/2023,30/07/2023,1004
12,15/07/2023,05/08/2023,1005
23,20/07/2023,10/08/2023,1001
34,01/08/2023,20/08/2023,1002
43,10/08/2023,30/08/2023,1003
1,15/08/2023,05/09/2023,1004
8,20/08/2023,10/09/2023,1005
19,01/09/2023,20/09/2023,1001
27,10/09/2023,30/09/2023,1002
35,15/09/2023,05/10/2023,1003
46,20/09/2023,10/10/2023,1004
50,01/10/2023,20/10/2023,1005
7,10/10/2023,30/10/2023,1001
17,15/10/2023,05/11/2023,1002
27,20/10/2023,10/11/2023,1003
35,01/11/2023,20/11/2023,1004
43,10/11/2023,30/11/2023,1005
2,15/11/2023,05/12/2023,1001
11,20/11/2023,10/12/2023,1002
22,01/12/2023,20/12/2023,1003
31,10/12/2023,30/12/2023,1004
39,15/12/2023,05/01/2024,1005
48,20/12/2023,10/01/2024,1001
50,01/01/2024,20/01/2024,1002
5,10/01/2024,30/01/2024,1003
14,15/01/2024,05/02/2024,1004
24,20/01/2024,10/02/2024,1005
34,01/02/2024,20/02/2024,1001
44,10/02/2024,05/03/2024,1002
7,15/02/2024,05/03/2024,1003
16,20/02/2024,10/03/2024,1004
25,01/03/2024,20/03/2024,1005
36,10/03/2024,30/03/2024,1001
46,15/03/2024,05/04/2024,1002
2,01/04/2024,20/04/2024,1003
9,10/04/2024,30/04/2024,1004
17,15/04/2024,05/05/2024,1005
26,20/04/2024,10/05/2024,1001
35,01/05/2024,20/05/2024,1002
44,10/05/2024,30/05/2024,1003
4,01/06/2024,20/06/2024,1004
12,10/06/2024,30/06/2024,1005
22,15/06/2024,05/07/2024,1001
30,20/06/2024,10/07/2024,1002
42,01/07/2024,20/07/2024,1003
6,10/07/2024,30/07/2024,1004
14,15/07/2024,05/08/2024,1005
23,20/07/2024,10/08/2024,1001
32,01/08/2024,20/08/2024,1002
40,10/08/2024,30/08/2024,1003
7,15/08/2024,05/09/2024,1004
15,20/08/2024,10/09/2024,1005
26,01/09/2024,20/09/2024,1001
34,10/09/2024,30/09/2024,1002
42,15/09/2024,05/10/2024,1003
1,01/10/2024,20/10/2024,1004
9,10/10/2024,30/10/2024,1005
19,15/10/2024,05/11/2024,1001
27,20/10/2024,10/11/2024,1002
35,01/11/2024,20/11/2024,1003
43,10/11/2024,30/11/2024,1004
2,15/11/2024,05/12/2024,1005
12,20/11/2024,10/12/2024,1001
23,01/12/2024,20/12/2024,1002
31,10/12/2024,30/12/2024,1003
1,09/09/2024,09/09/2024,1001
1,09/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
2,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
2,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
2,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
1,10/09/2024,10/09/2024,1001
2,10/09/2024,10/09/2024,1001
4,10/09/2024,10/09/2024,1001
9,11/09/2024,11/09/2024,1003
3,10/09/2024,,1001
5,10/09/2024,,1001
1,10/09/2024,,1001
2,10/09/2024,,1001
4,10/09/2024,,1001
